eic,name,tso,u_primary,u_secondary,imax,s_nom,r,x,b,g,theta,is_pst,x_physical
14T-38220-SO042Y,TR Wien Suedost SORHU43,APG,220.0,400.0,1556.0,592.915632446978,0.2196,15.786,-16.0268,5.7088,60.0,True,True
14T-38220-ZZ041D,TR Zell am Ziller ZZRHU41,APG,400.0,220.0,1732.0,1199.964799483718,0.2257,19.736,-22.4514,1.0437,59.95,True,True
14T-38220-ZZ042B,TR Zell am Ziller ZZRHU42,APG,400.0,220.0,1732.0,1199.964799483718,0.2257,19.736,-22.4514,1.0437,59.95,True,True
14T-38220-RHU41V,TR Zaya ZYRHU41,APG,220.0,400.0,1427.0,543.7600305281733,0.17738,15.609,-10.0555,2.6427,60.0,True,True
14T-RHU43-TA---6,TR Tauern TARHU43,APG,220.0,400.0,1554.0,592.1535300916478,0.1925,15.432,-12.6401,5.0472,60.0,True,True
14T-220-220-NR1Y,TR Nauders NRPST21,APG,220.0,220.0,564.0,214.91286420314628,0.56,7.76,-7.94,0.96,90.0,True,True
14T-220-220-NR2W,TR Nauders NRPST22,APG,220.0,220.0,564.0,214.91286420314628,0.56,7.76,-7.94,0.96,90.0,True,True
14T-38220-LI043U,TR Lienz LIRHU43,APG,220.0,400.0,1554.0,592.1535300916478,0.2196,15.433,-16.0268,5.7088,60.0,True,True
27T-TR-CSTT401-T,TR C. Stred T401,CEPS,400.0,231.0,722.0,500.21627322589177,0.42,39.84,-1.38,0.66,,False,True
27T-TR-HRAT402-B,TR Hradec T402,CEPS,400.0,231.0,723.0,500.9090935489193,0.33,38.23,-0.6,0.5,,False,True
27T-TR-PRNT401X5,TR Prosenice T401,CEPS,400.0,231.0,722.0,500.21627322589177,0.43,37.82,-15.61,0.62,,False,True
27T-TR-SOKT401-H,TR Sokolnice T401,CEPS,400.0,231.0,722.0,500.21627322589177,0.48,42.29,-15.61,0.65,,False,True
27T-HRD4T451---Y,PST Hradec 1,CEPS,400.0,400.0,1168.0,809.2141372961794,0.21,25.5,-24.07,1.06,90.0,True,True
27T-HRD4T452---T,PST Hradec 2,CEPS,400.0,400.0,1168.0,809.2141372961794,0.21,25.59,-24.07,1.07,90.0,True,True
27T-HRD4T453---O,PST Hradec 3,CEPS,400.0,400.0,1168.0,809.2141372961794,0.21,25.44,-24.07,1.08,90.0,True,True
27T-HRD4T454---J,PST Hradec 4,CEPS,400.0,400.0,1168.0,809.2141372961794,0.2,25.63,-24.07,1.08,90.0,True,True
28T-0000001324-8,TR Bericevo 422,ELES,231.0,400.0,1000.0,400.1037365484106,0.1868,15.754,-14.0161,2.5299,,False,True
28T0000000008790,TR Bericevo 411,ELES,123.0,400.0,1408.0,299.9634870580084,0.0799,6.7672,-7.75569,7.0923,,False,True
28T-0000001321-H,TR Bericevo 211,ELES,115.0,220.0,753.0,149.98693968142692,0.2332,11.636,-62.8393,9.2476,,False,True
28T-0000001322-E,TR Bericevo 212,ELES,115.0,220.0,753.0,149.98693968142692,0.2332,11.636,-62.8393,9.2476,,False,True
28T000000000304E,TR Cirkovce 411,ELES,115.0,400.0,1506.0,299.97387936285384,0.2537,12.332,-43.3698,8.7032,,False,True
28T000000000305C,TR Cirkovce 412,ELES,115.0,400.0,1506.0,299.97387936285384,0.2537,12.332,-43.3698,8.7032,,False,True
28T-0000001841-L,TR Klece 211,ELES,115.0,220.0,1506.0,299.97387936285384,0.0684,5.9509,-53.8206,8.2042,,False,True
28T-0000001842-I,TR Klece 212,ELES,115.0,220.0,1506.0,299.97387936285384,0.0705,6.0655,-124.281,10.964,,False,True
28T-0000001937-2,TR Krsko 411,ELES,115.0,400.0,1506.0,299.97387936285384,0.0529,5.6645,-45.4166,14.374,,False,True
