hour,name,tso,direction,fmax,ram,shadow_price,binding_direction
2024-08-29 13:00:00+00:00,Equality Constraint BE_AL-DE_AL 02,,,0.0,0.0,,
2024-08-29 13:00:00+00:00,Equality Constraint Core hubs 01,,,0.0,0.0,,
2024-08-29 13:00:00+00:00,Equality Constraint Core hubs 02,,,0.0,0.0,,
2024-08-29 14:00:00+00:00,External Constraint BE_AL_export,ELIA,,1000.0,1000.0,,
2024-08-29 14:00:00+00:00,External Constraint BE_AL_import,ELIA,,1000.0,1000.0,,
2024-08-29 14:00:00+00:00,External Constraint DE_AL_export,,,1000.0,1000.0,,
2024-08-29 14:00:00+00:00,External Constraint DE_AL_import,,,1000.0,1000.0,0.416371761,OPPOSITE
2024-08-29 14:00:00+00:00,Equality Constraint BE_AL-DE_AL 01,,,0.0,0.0,,
2024-08-29 14:00:00+00:00,Equality Constraint BE_AL-DE_AL 02,,,0.0,0.0,,
2024-08-29 14:00:00+00:00,Equality Constraint Core hubs 01,,,0.0,0.0,,
2024-08-29 14:00:00+00:00,Equality Constraint Core hubs 02,,,0.0,0.0,,
2024-08-29 15:00:00+00:00,External Constraint BE_AL_export,ELIA,,1000.0,1000.0,,
2024-08-29 15:00:00+00:00,External Constraint BE_AL_import,ELIA,,1000.0,1000.0,,
2024-08-29 15:00:00+00:00,External Constraint DE_AL_export,,,1000.0,1000.0,,
2024-08-29 15:00:00+00:00,External Constraint DE_AL_import,,,1000.0,1000.0,,
2024-08-29 15:00:00+00:00,Equality Constraint BE_AL-DE_AL 01,,,0.0,0.0,,
2024-08-29 15:00:00+00:00,Equality Constraint BE_AL-DE_AL 02,,,0.0,0.0,,
2024-08-29 15:00:00+00:00,Equality Constraint Core hubs 01,,,0.0,0.0,,
2024-08-29 15:00:00+00:00,Equality Constraint Core hubs 02,,,0.0,0.0,,
2024-08-29 16:00:00+00:00,External Constraint BE_AL_export,ELIA,,1000.0,1000.0,,
2024-08-29 16:00:00+00:00,External Constraint BE_AL_import,ELIA,,1000.0,1000.0,6.679255872,OPPOSITE
2024-08-29 16:00:00+00:00,External Constraint DE_AL_export,,,1000.0,1000.0,1.461607032,OPPOSITE
2024-08-29 16:00:00+00:00,External Constraint DE_AL_import,,,1000.0,1000.0,,
2024-08-29 16:00:00+00:00,Equality Constraint BE_AL-DE_AL 01,,,0.0,0.0,,
